objectid,filename,youtubeid, ,title,Name of Artists,date,Location/ Region,Description,Materials,Pattern ,Design,Format,Rights 
coll001,coll001.QT Movie,,,Back Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a back stitch for embroidery.,Canvas and thread,Back Stitch,N/A,QT Movie,Colletion Creator
coll002,coll002.QT Movie,,,Chain Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a chain stitch for embroidery. ,Canvas and thread,Chain Stitch,N/A,QT Movie,Colletion Creator
coll003,coll003.QT Movie,,,Fishbone Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a fishbone stitch for embroidery.,Canvas and thread,Fishbone Stitch,N/A,QT Movie,Colletion Creator
coll004,coll004.QT Movie,,,French Knot Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a french knot stitch for embroidery.,Canvas and thread,French Knot Stitch,N/A,QT Movie,Colletion Creator
coll005,coll005. QT Movie,,,Lazy Daisy Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a lazy daisy stitch for embroidery.,Canvas and thread,Lazy Daisy Stitch,N/A,QT Movie,Colletion Creator
coll006,coll006.QT Movie,,,Running Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a running stitch for embroidery.,Canvas and thread,Running Stitch,N/A,QT Movie,Colletion Creator
coll007,coll007.QT Movie,,,Woven Rose Stitch Tutorial ,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a woven rose stitch for embroidery.,Canvas and thread,Woven Rose Stitch,N/A,QT Movie,Colletion Creator
coll008,coll008.QT Movie,,,Satin Stitch Tutorial,Abby Buechel,April 9th 2026,"Iowa City, Iowa, USA",Tutorial on how to do a satin stitch for embroidery.,Canvas and thread,Satin Stitch,N/A,QT Movie,Colletion Creator
coll009,coll009.PNG,,,Bindalli Wedding Dress,Unkown,Mid 19th- early 20th Century,Turkey,"A dress worn for weddings and other events by Muslim and Jewish women in the Turkish region. The name Bindalli means thousands of branches, which are depicted in the embroidery. Dresses like this one were mostly owned and worn by wealthy women due to the extensive embroidery in gold fabric, but this type of dress was common among many economic classes of women. ",Cotton and metal wrapped thread,N/A,"Blossoms, Chains, Branches, Floral, and Tassels ",Image/PNG,Public Domain
coll010,coll010.PNG,,,Embroidary ,Unkown,18th Century,Possibly Spanish,"Silk embroidery with floral designs, potentially from the 18th century. Could potentially be Spanish and of the Spanish culture, but the exact location is unknown. Dimensions of the item are L.17 x W. 15 inches (43.2 x 38.1 cm).",Silk and metal thread,N/A,Florals,Image/PNG,Public Domain
coll011,coll011.PNG,,,Embroidary Sample From a Man's Suit,Unkown,1800-1815,From French culture,Sample from a man's suit. Floral design found in the French culture of the 1800's. ,Silk embroidary on silk velvet,N/A,Florals,Image/PNG,Public Domain
coll012,coll012.PNG,,,Embroidary Textile With Dragon and Lotuses,Unkown,7th-8th Century in the Tang Dynasty,China,A piece of cloth depicting dragons and lotus flowers. From the Tang Dynasty in the 7th and 8th centuries. ,Silk with embroidary ,N/A,"Floral, Lotuses, and Dragons",Image/PNG,Public Domain
coll013,coll013.PNG,,,Embroidary With the Annunciation,Unkown,Mid-15th Century ,From the Netherlandish culture,"This piece was originally made as part of an ophrey (or an altar frontal). Has a Netherlandish technique in this work, using gold to provide glitter and a 3-dimensional quality. The image is depicting the Virgin Mary is kneeling before her prayer book with the archangel Gabriel at her side, telling her of the coming birth of Jesus. ",Silk and metallic threads on linen,N/A,Religious scene between The Virgin Mary and Archangel Gabriel,Image/PNG,Public Domain
coll014,coll014.PNG,,,Portrait of Charles II in Raised Work Embroidery,Unkown,1675,England,Image of Charles II dressed in raised embroidery work and metal. The portrait is framed and considered textiles—embroidery—due to its 3D qualities. A recreation of the portrait originally done by John the Baptist Gaspers.,"Silk, lace, metal foil on silk",N/A,"Picture of Charles II, big hair seems to be the embroidery portion",Image/PNG,Public Domain
coll015,coll015.PNG,,,Sampler,Angentte Jackson,1828,"Boston, Massachusetts, United States of America"," Agnette Jackson, daughter of prominent Black Abolitionists. She attended school at The Garrison Juvenile Society, where she learned to read, write, and do basic sewing. She recited,  “On religion”, which is embroidered onto this piece when the school recently gained funds for needlework. ",Silk embroidered on Linen,N/A,"Floral, wording, and a building",Image/PNG,Public Domain